Year,County_FIPS,County,State,DiagnosedDiabetesPercentage,OverallSVI,Pop2010,OHU2010,NUMGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lalowihalf,lakidshalf,laseniorshalf,lawhitehalf,lablackhalf,laasianhalf,lanhopihalf,laaianhalf,laomultirhalf,lahisphalf,lahunvhalf,lasnaphalf,lapop1,lalowi1,lakids1,laseniors1,lawhite1,lablack1,laasian1,lanhopi1,laaian1,laomultir1,lahisp1,lahunv1,lasnap1,lapop10,lalowi10,lakids10,laseniors10,lawhite10,lablack10,laasian10,lanhopi10,laaian10,laomultir10,lahisp10,lahunv10,lasnap10,lapop20,lalowi20,lakids20,laseniors20,lawhite20,lablack20,laasian20,lanhopi20,laaian20,laomultir20,lahisp20,lahunv20,lasnap20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
2010,6001.0,Alameda County,California,7.2,0.6705,1510271,545138,37442.0,11,83,11,34,46,151,4024.7,61,231,61,231,61,0,0,46,122079.0,642852.0,121958.0,16876.0,128414.0,16862.0,661765.0,129690.0,153620.0,74284.0,296358.0,79420.0,182636.0,4960.0,3824.0,94557.0,124871.0,15058.0,12783.0,133951.0,17774.0,31726.0,16784.0,67991.0,13419.0,37475.0,584.0,562.0,13927.0,17882.0,1865.0,1652.0,121.0,14.0,16.0,19.0,110.0,1.0,3.0,0.0,2.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369977.0,340621.0,167746.0,649122.0,190451.0,394560.0,12802.0,9799.0,253537.0,339889.0,54816.0,37448.0
2010,6003.0,Alpine County,California,7.5,0.2592,1175,497,24.0,0,0,0,0,0,0,19.8,1,1,0,0,0,1,0,0,669.0,669.0,121.0,197.0,197.0,28.0,1175.0,418.0,256.0,166.0,881.0,0.0,7.0,0.0,240.0,47.0,84.0,30.0,58.0,1175.0,418.0,256.0,166.0,881.0,0.0,7.0,0.0,240.0,47.0,84.0,30.0,58.0,669.0,197.0,117.0,104.0,618.0,0.0,4.0,0.0,24.0,23.0,29.0,19.0,37.0,121.0,28.0,18.0,17.0,119.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,8.0,439.0,256.0,166.0,881.0,0.0,7.0,0.0,240.0,47.0,84.0,18.0,35.0
2010,6005.0,Amador County,California,8.8,0.368,38091,14569,4551.0,0,0,0,0,2,1,92.1,0,0,0,0,0,0,0,2,66.0,66.0,0.0,36.0,36.0,0.0,33007.0,8320.0,5309.0,6952.0,28837.0,905.0,351.0,68.0,560.0,2286.0,4082.0,653.0,1003.0,25742.0,6362.0,3817.0,5265.0,22502.0,797.0,246.0,53.0,417.0,1728.0,3174.0,459.0,760.0,66.0,36.0,8.0,13.0,64.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8946.0,6393.0,7865.0,33149.0,962.0,419.0,77.0,678.0,2806.0,4756.0,773.0,1059.0
2010,6007.0,Butte County,California,8.1,0.7943,220000,87618,4942.0,14,26,14,11,15,33,1063.2,24,39,23,38,23,1,0,15,42052.0,107674.0,40894.0,14194.0,42307.0,13748.0,161926.0,61887.0,34907.0,26381.0,134431.0,2035.0,6329.0,305.0,3342.0,15479.0,21546.0,3942.0,7212.0,90340.0,30591.0,19183.0,17017.0,76965.0,779.0,2749.0,136.0,1899.0,7810.0,10758.0,1736.0,3784.0,1163.0,448.0,224.0,203.0,1034.0,9.0,15.0,1.0,20.0,81.0,112.0,15.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90612.0,46168.0,33817.0,180096.0,3415.0,9057.0,452.0,4395.0,22585.0,31116.0,6232.0,10360.0
2010,6009.0,Calaveras County,California,7.2,0.1194,45578,18886,493.0,0,0,0,0,0,2,120.1,2,2,2,2,2,0,0,0,6717.0,8520.0,6661.0,2730.0,3282.0,2715.0,39836.0,12392.0,7681.0,8408.0,35567.0,356.0,517.0,65.0,608.0,2722.0,3906.0,374.0,1501.0,32473.0,10271.0,6113.0,6831.0,29023.0,290.0,420.0,54.0,536.0,2148.0,3147.0,292.0,1276.0,95.0,26.0,18.0,12.0,83.0,1.0,1.0,0.0,0.0,9.0,6.0,3.0,7.0,38.0,11.0,8.0,2.0,34.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,14011.0,8943.0,9565.0,40522.0,383.0,571.0,79.0,689.0,3334.0,4703.0,431.0,1502.0
2010,6011.0,Colusa County,California,7.4,0.9051,21419,7056,225.0,1,1,1,0,0,2,67.5,4,4,2,2,2,2,0,0,8424.0,12305.0,2583.0,2646.0,4039.0,654.0,15263.0,5169.0,4407.0,1893.0,10120.0,141.0,215.0,45.0,335.0,4406.0,7676.0,247.0,767.0,10087.0,3205.0,2859.0,1326.0,6884.0,91.0,111.0,29.0,256.0,2715.0,4772.0,160.0,486.0,6384.0,2201.0,1843.0,761.0,4174.0,62.0,54.0,14.0,124.0,1958.0,3355.0,111.0,278.0,455.0,201.0,65.0,135.0,384.0,17.0,3.0,3.0,19.0,29.0,43.0,26.0,31.0,8018.0,6410.0,2495.0,13854.0,195.0,281.0,68.0,419.0,6602.0,11804.0,386.0,1083.0
2010,6013.0,Contra Costa County,California,7.0,0.4804,1049025,375364,10314.0,15,64,15,15,27,83,1884.4,96,181,96,181,96,0,0,27,243671.0,629047.0,243671.0,30078.0,114466.0,30078.0,650852.0,118777.0,162244.0,84508.0,401127.0,55000.0,95557.0,2701.0,3348.0,93119.0,133134.0,9994.0,12106.0,256720.0,32706.0,63934.0,35907.0,170834.0,13564.0,41598.0,839.0,1099.0,28774.0,39803.0,2875.0,3065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246448.0,260505.0,130438.0,614512.0,97161.0,151469.0,4845.0,6122.0,174916.0,255560.0,21438.0,25060.0
2010,6015.0,Del Norte County,California,7.8,0.9526,28610,9907,3818.0,2,4,1,2,4,4,178.1,4,6,2,4,2,2,0,4,9844.0,16039.0,7079.0,4133.0,7427.0,2690.0,25150.0,11006.0,5261.0,3425.0,18518.0,960.0,783.0,16.0,1967.0,2907.0,4565.0,715.0,1360.0,18955.0,7712.0,3625.0,2561.0,13986.0,929.0,354.0,11.0,1513.0,2161.0,3680.0,393.0,869.0,2943.0,1540.0,643.0,480.0,1958.0,19.0,13.0,2.0,520.0,431.0,462.0,130.0,221.0,178.0,97.0,51.0,28.0,98.0,3.0,2.0,0.0,49.0,27.0,23.0,6.0,16.0,11470.0,6138.0,3873.0,21098.0,993.0,965.0,32.0,2244.0,3278.0,5093.0,942.0,1692.0
2010,6017.0,El Dorado County,California,6.8,0.1815,181058,70223,1643.0,2,4,2,1,4,6,392.4,17,21,16,20,16,1,0,4,45667.0,73723.0,45460.0,7712.0,14755.0,7667.0,157639.0,32561.0,35837.0,23070.0,137509.0,1236.0,5584.0,249.0,1802.0,11264.0,17452.0,2159.0,3466.0,120588.0,23517.0,27169.0,18360.0,106656.0,878.0,4053.0,182.0,1422.0,7396.0,11249.0,1340.0,2390.0,207.0,45.0,31.0,31.0,169.0,1.0,8.0,4.0,5.0,20.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39396.0,41175.0,26524.0,156793.0,1409.0,6297.0,294.0,2070.0,14195.0,21875.0,2850.0,4217.0
2010,6019.0,Fresno County,California,10.1,0.9758,930450,289391,17523.0,27,100,25,34,36,131,4864.3,53,159,48,154,48,5,0,36,124000.0,450417.0,117608.0,49776.0,201263.0,47353.0,557625.0,245280.0,164710.0,55599.0,314108.0,30070.0,57378.0,860.0,9308.0,145916.0,262376.0,11767.0,31503.0,216370.0,85585.0,63556.0,21513.0,122515.0,10548.0,24332.0,263.0,3763.0,54955.0,99265.0,2574.0,10230.0,6748.0,2515.0,1651.0,905.0,5193.0,70.0,83.0,4.0,296.0,1102.0,2044.0,92.0,291.0,356.0,92.0,96.0,13.0,325.0,2.0,4.0,1.0,7.0,15.0,25.0,35.0,15.0,452590.0,277507.0,93421.0,515145.0,49523.0,89357.0,1405.0,15649.0,259371.0,468070.0,25805.0,61296.0
